Date,DXR,ISBA,BVFL,BYRN,CRVO,CZFS,TOMZ,LDWY,LINK,SCWO
2020-01-27,0.0,0.0074971057716815,0.0,0.09523812226968142,-0.08333333333333337,0.0,0.0,-0.060975595572957286,-0.16880733222534294,0.0
2020-01-28,0.0,0.0024801579455686618,0.0,-0.08695654427396826,-0.022727272727272707,0.023999865963566958,0.0,0.06493504885015455,0.10154548547456343,-0.09999997764825852
2020-01-29,-0.041450739310101126,0.0,0.0,0.04761911790117157,0.04651162790697683,0.0,0.0,0.0,-0.010019957998438023,0.0
2020-01-30,0.0,-0.0020618953595994416,-0.011764690726851046,-0.04545460949259217,-0.06666666666666665,0.0,0.0,-0.03658529088563123,-0.05668038791902863,0.5555555003660719
2020-01-31,0.0010811058250632666,0.002066155556152749,-0.017857119579400615,0.04761911790117157,0.023809523809523725,0.0,0.25000007761021625,0.0,0.07081561837757655,0.0
2020-02-03,0.03131748970680581,-0.008247476250388242,0.0,0.0,-0.023255813953488413,0.0,0.39999990065892943,0.025316430592042805,-0.0641281182020923,-0.07142860944173757
2020-02-04,-0.05654449749403356,0.004158296547232876,0.0,0.0,0.0,0.014843952947441785,0.8571428470060125,-0.024691334144937627,-0.004282688452708072,-0.23076919109158112
2020-02-05,0.02663704384255583,-0.0020706439846440716,0.0,0.0,0.04761904761904767,0.0007696124551477279,-0.2564102505320861,0.025316430592042805,0.0,0.5000000372529025
2020-02-06,-0.019459492451435856,0.0,0.0,0.0,0.09090909090909083,0.00769263363002004,-0.3103447974649527,0.0,0.08602102159264358,0.19999999999999996
2020-02-07,0.007717822585868506,-0.002074728762184397,0.0,0.0,-0.08333333333333337,0.0,0.09999997764825852,0.024691334144937738,0.0,0.3888888336994052
2020-02-10,0.08533913606918198,0.0004157660170676092,0.0,-0.04545460949259217,-0.022727272727272707,0.0,0.4545454299154359,-0.012048222435590672,-0.0019799487565169693,-0.19999998807907104
2020-02-11,-0.006048429350326678,0.0024939834398820526,0.0,0.0,0.023255813953488413,0.0,0.03125006402842834,0.0,-0.007936571291784822,0.0
2020-02-12,-0.023326526394001568,-0.0008293301567372513,-0.006666622424849722,0.04761911790117157,-0.022727272727272707,0.0,-0.24242427252759713,0.0,0.0,0.0
2020-02-13,-0.00311523703163874,0.0,-0.018303996853070825,-0.04545460949259217,-0.023255813953488413,-0.019084151410298067,0.08000004291534424,-0.0487804432292942,0.0020001770258055718,0.0
2020-02-14,-0.004166662527455345,-0.003734448266306978,0.0,0.0,-0.023809523809523836,0.058210190723970046,0.0,0.05128200201738786,0.08782407880318455,0.19999995529651704
2020-02-18,-0.003138147000908864,0.0,0.0,0.0,-0.024390243902439046,0.0,0.07407400048809576,0.02439030468732617,0.02385335549314016,0.0
2020-02-19,-0.024134265339021188,-0.0004163524192157819,0.0,0.0,-0.025000000000000022,-0.07192228387500677,0.034482829494228984,-0.02380958173434755,-0.06810042113565307,-0.0416666278615585
2020-02-20,0.016128990909022756,0.006250119569168433,0.02299573039747571,-0.04761900436850974,0.05128205128205132,0.0,0.0,0.02439030468732617,-0.0019228344926323082,0.043478218616745945
2020-02-21,-0.0063491499633213655,-0.006211298212659533,0.0,-0.10000002384185791,0.0,0.0380349207751689,0.0,-0.03571429150676808,0.0,0.0
2020-02-24,0.019169259309927744,0.0020831606223123966,0.0,0.05555557027275215,0.0,-0.034351238936095596,0.16666660043928627,-0.049382752388138385,0.05202306223871078,0.04166668994973155
2020-02-25,0.0031348680880034507,0.0,0.0,0.0,-0.024390243902439046,0.02529632950045757,0.7428572134095808,-0.012986956689826412,-0.0018317618505235833,0.0
2020-02-26,-0.057291684258314546,-0.0012472980512028276,0.02976904553230586,0.0,-0.050000000000000044,0.0,-0.08196723073504641,0.013157836948407109,0.0,-0.04000002145767212
