Date,FEX,FNX,EVRG,ACWI,ERIC,HBNC,POWI,TBBK,UAL,CVLT
2019-01-29,0.00017843007705931058,-0.00015586586164584304,-0.0033503057200103825,0.0001475976347906638,0.016018335725043187,0.004179294604390149,-0.0016771412597466062,-0.003508740620111417,0.012647750757956988,0.030047076226908054
2019-01-30,0.011434834059350418,0.00904679332005176,0.003184522715271587,0.014136070001222523,0.010135120151116839,-0.045184190544460656,0.0050394388420123,0.0023473595087817323,0.021010891680050214,0.035477768290156586
2019-01-31,0.009008977042111344,0.0052558795590560425,0.010934667879666904,0.006534112013883986,-0.0066889097315681045,0.00498099884537595,0.0027344818156960216,-0.007025810290949952,-0.002286550529844722,0.006091084772834154
2019-02-01,0.0031512795896311285,0.005074651332895419,-0.0017446133638757688,-0.001154174132866892,-0.008978757318294561,0.0012393690710634786,0.009394001996675838,0.016509475339645308,0.002520926196467377,0.00015138695741900854
2019-02-04,0.004363080832716637,0.007649998299958272,0.003495498900689231,0.005777042198108706,0.0011325381910425314,0.03217835681290082,0.016061304312937175,0.00116011937524374,0.012915817926661965,0.023759074626514165
2019-02-05,0.002432568627550813,0.005162571033263896,0.00034801985813470715,0.005887584275368507,-0.011312237504919942,0.001198794352817556,0.006352488905261966,0.009269979449036958,0.009478631368277979,0.0014781740113167796
2019-02-06,-0.0003467390534008796,-0.002417246895314973,-0.004004046036812592,-0.0038543522651738327,0.012585801583317346,-0.0005986044321194539,0.024221839609458673,0.004592418103081641,0.003241682522861611,0.008118126225207467
2019-02-07,-0.00502851684332184,-0.008630820207715995,0.007516165456857848,-0.010461601515839858,-0.014689126312258605,-0.0029958662092740562,-0.029668737873874806,-0.00571430751255575,-0.021058489021152482,-0.007906308805259221
2019-02-08,0.00191700313590637,0.0013744355989944168,0.00798082319973692,-0.0002895939750505727,0.006880543303112496,-0.009615443279098246,0.054652510969150025,-0.014942542217354249,0.0035283127298000316,0.00885475878402131
2019-02-11,0.002783125758719196,0.006406554805765019,-0.0005166918751231542,-0.0013037683782884946,0.012528798574778843,0.011529192482718553,-0.04579810051197564,-0.004667440289080171,0.0111149299907638,-0.026623751880842206
2019-02-12,0.012315744200522394,0.013791910446036892,0.003961120977155508,0.012329283379502565,0.01687268567498945,0.008398249344699682,0.029355223054526203,0.00468932744492534,-0.013236122097353475,0.01698222479516498
2019-02-13,0.002056047866268562,0.0007475512175902921,0.002572459680038941,0.0005735396408605986,0.03539803213201598,0.005949109650389417,0.015685279282627862,0.004667440289080282,0.006934188949493825,0.0014777372074317174
2019-02-14,-0.0011969778937998,0.002240792941236469,-0.0005130865635349924,-0.0005732108816974835,-0.002136442280354811,-0.010053453628889875,-0.01333690850734337,0.0,-0.004854372276892782,0.0008854240956261972
