,lag_1d,lag_5d,lag_21d,lag_63d,lag_252d
2020-03-12,0.999963042390409,0.9989270757770279,0.9808650033125191,0.8675950159196283,
2020-03-13,0.9999541721093941,0.9988182354750343,0.980373478372921,0.8672006355892221,
2020-03-16,0.9999508342942129,0.9987693912481979,0.9801273574460151,0.867468061149737,
2020-03-17,0.9999457666607132,0.9987257534550952,0.9799520962844976,0.8679842529424251,
2020-03-18,0.9999462615104,0.9987183906469901,0.9799580008949174,0.8689789115917743,
2020-03-19,0.9999445716193427,0.998712116931931,0.9800072161442346,0.8700770820031527,
2020-03-20,0.9999455629470414,0.9987228624846667,0.9801701133171412,0.8714664499658236,
2020-03-23,0.999946643394715,0.9987370853960866,0.9803600901938543,0.872897953692254,
2020-03-24,0.9999484795882422,0.9987512492637118,0.980559408084735,0.8743382327639324,
2020-03-25,0.999948440182235,0.9987590523195875,0.9807375586617277,0.875732997607198,
2020-03-26,0.999949061069369,0.9987735254048409,0.9809510534453405,0.8772256100251092,
2020-03-27,0.9999497889618052,0.998786328499109,0.9811609233722915,0.878699598168965,
2020-03-30,0.999950398339613,0.9988011779672527,0.981372758528032,0.880167511204903,
2020-03-31,0.9999510622698347,0.9988166293210754,0.9815854644756666,0.8816326381422933,
2020-04-01,0.9999517420508811,0.9988337732058172,0.981797167392067,0.8830705810173447,
2020-04-02,0.9999519861954123,0.9988491272725468,0.982000680443685,0.8844857073341944,
2020-04-03,0.9999529678185184,0.9988678193441466,0.9822163504261627,0.8859165613678739,
2020-04-06,0.9999537239721868,0.9988844540180327,0.982418555163483,0.8873154718054657,
2020-04-07,0.9999543453758113,0.998898468762498,0.982609072000972,0.8886865210226018,
2020-04-08,0.9999550511779627,0.9989123437978977,0.9828008960266363,0.8900715257552115,
2020-04-09,0.9999557853684392,0.9989244056628046,0.9829846591452231,0.8914235827146118,
2020-04-13,0.9999563593249892,0.9989339212030472,0.9831666751849039,0.8927468331140161,
2020-04-14,0.9999566341253614,0.9989437401643204,0.9833448392865571,0.8940522515804565,
2020-04-15,0.9999570029767761,0.998956131348498,0.9835337465759681,0.8953535662026993,
2020-04-16,0.9999575765721089,0.9989695080763958,0.9837189209715165,0.8966471304739903,
2020-04-17,0.9999578272511291,0.9989812481914278,0.9838969531563266,0.8979243297819957,
2020-04-20,0.9999584598573614,0.9989941038988347,0.9840724836228938,0.8991963160384785,
2020-04-21,0.9999591606502372,0.9990055420047191,0.9842472422032827,0.9004487590019383,
2020-04-22,0.9999597398840755,0.9990152370217364,0.9844170565209374,0.9016682253851303,
2020-04-23,0.9999599492436906,0.999023461896295,0.9845842853987159,0.902862015214844,
2020-04-24,0.9999602903789141,0.9990327625251602,0.9847518109733469,0.9040518930162597,
2020-04-27,0.9999607735614082,0.9990427018976304,0.9849196566464284,0.9052384310017174,
2020-04-28,0.9999608964684489,0.9990518817274956,0.9850817410679136,0.906390318428821,
2020-04-29,0.9999613376019811,0.9990625828874392,0.985249860384215,0.9075480596549494,
2020-04-30,0.9999618585223955,0.9990722543166933,0.9854151591085614,0.9086948913727657,
2020-05-01,0.9999622546750246,0.9990799038285854,0.9855725676861373,0.9098279312828356,
2020-05-04,0.9999626497279233,0.999085951446603,0.9857255456872666,0.9109578081140246,
2020-05-05,0.9999628809595167,0.9990919960316725,0.9858766406631648,0.9120918214238367,
2020-05-06,0.9999631181413878,0.9990972687194618,0.986038538334201,0.9132316085601709,
2020-05-07,0.9999629788562805,0.9991036266850688,0.986199862132529,0.9143768995462389,
2020-05-08,0.9999633121420353,0.9991127377863813,0.9863776368766501,0.9155648684234126,
2020-05-11,0.9999637711829423,0.9991220232445781,0.9865579333196677,0.9167624568022826,
2020-05-12,0.9999639864885166,0.9991309876879788,0.9867385443974013,0.9179620267888609,
2020-05-13,0.999964582566538,0.9991427529513601,0.986922691075469,0.9191654032947509,
2020-05-14,0.9999649961223394,0.9991556833070354,0.9871101511404281,0.9203719292927219,
2020-05-15,0.9999655502499862,0.9991688953849529,0.9872966832020482,0.9215621676417927,
2020-05-18,0.9999659030273809,0.9991801574861362,0.9874719071877694,0.9227490053862799,
2020-05-19,0.9999663952760512,0.9991908594807845,0.9876443664878027,0.923915656642806,
2020-05-20,0.9999667750381496,0.9992019253452952,0.9878192051807116,0.9250791898883715,
2020-05-21,0.9999672317713344,0.9992140042969976,0.9879979496956126,0.9262443030925532,
2020-05-22,0.999967828204983,0.999227578998293,0.9881790131284692,0.9274042187507145,
2020-05-26,0.999968355688554,0.9992393855141481,0.9883540426052491,0.9285222276394616,
2020-05-27,0.9999689489099205,0.999250233507404,0.9885242791141027,0.929585484746533,
2020-05-28,0.9999694099481551,0.9992599777763465,0.9886907675517796,0.9306595643158764,
2020-05-29,0.9999697186526249,0.9992708823476171,0.988852911810238,0.9317250392820211,
2020-06-01,0.9999701783919561,0.9992827988154876,0.9890196635134824,0.9328169427501712,
2020-06-02,0.9999706250031792,0.9992937318248825,0.9891797735060388,0.9339238712261889,
2020-06-03,0.9999710466532903,0.9993043291392586,0.9893390364996748,0.9350168163189716,
2020-06-04,0.9999717040047156,0.999314363853135,0.989494901630689,0.9360655115868549,
2020-06-05,0.9999719514213231,0.9993230372459417,0.9896480678516424,0.9371025580550316,
2020-06-08,0.9999723358806928,0.9993336362860006,0.9898041817805713,0.9381259544257294,
2020-06-09,0.9999727910028348,0.9993443868384594,0.9899596668004742,0.939132655822057,
2020-06-10,0.9999732123134263,0.9993535269747569,0.990111224096343,0.9402310888298001,
2020-06-11,0.9999734214387842,0.9993617239690205,0.9902567426115755,0.9412731500352975,
2020-06-12,0.999973920233931,0.9993707717414466,0.9904043561439467,0.9423999851409154,
2020-06-15,0.9999744096091218,0.9993793824651169,0.9905508461021362,0.943754609894154,
2020-06-16,0.9999745618569532,0.9993871418183252,0.9906944872392935,0.9450835735116376,
2020-06-17,0.999974960764795,0.9993963010563655,0.9908412246745211,0.9465149177553501,
2020-06-18,0.9999752664937976,0.9994050910727523,0.9909858217797489,0.9479271117147651,
2020-06-19,0.9999756336532265,0.9994148125651224,0.9911317614641083,0.9494593251455171,
2020-06-22,0.9999760595717128,0.9994245740145047,0.9912746083304128,0.950959792934968,
2020-06-23,0.9999764937959642,0.9994343368591722,0.9914140389870083,0.9524025482891911,
2020-06-24,0.999976909974119,0.9994431735153099,0.9915496863356413,0.9537595005136786,
2020-06-25,0.9999772218209636,0.9994518958499361,0.9916818673524866,0.9550620650373289,
2020-06-26,0.9999776252362372,0.9994609297753514,0.9918113901387895,0.9563121302511448,
2020-06-29,0.9999779946158784,0.9994696455345492,0.9919337732463909,0.9574993930673015,
2020-06-30,0.9999782414047097,0.9994781303858337,0.992053892059203,0.9586063988029685,
2020-07-01,0.9999785659313398,0.9994868782229509,0.9921735683798455,0.9596484732554436,
2020-07-02,0.9999789819788001,0.9994960498710624,0.9922938849271252,0.960622956910757,
2020-07-06,0.9999793652444178,0.999503792668446,0.9924110643105819,0.9615314114834774,
2020-07-07,0.9999796565919943,0.9995111252294627,0.9925252291409236,0.9623654362984071,
2020-07-08,0.9999800292738686,0.9995187948084028,0.9926372579994561,0.9631233248554683,
2020-07-09,0.9999803794219475,0.9995265236034465,0.992745128311208,0.9638375531591388,
2020-07-10,0.9999806428608676,0.9995334466953849,0.9928505990952508,0.9644786575163624,
2020-07-13,0.9999809436959681,0.9995401492293593,0.992953627707913,0.965059961670976,
2020-07-14,0.9999812028144288,0.9995462529111356,0.9930506665889214,0.9655856509460208,
2020-07-15,0.9999814161878042,0.9995521919250345,0.9931470013422582,0.966059500746728,
2020-07-16,0.9999816634815412,0.9995591824866823,0.9932429749430733,0.9664788258508817,
2020-07-17,0.9999820164493207,0.9995664161905071,0.9933405706576575,0.9668343793695002,
2020-07-20,0.999982266696539,0.9995733259193865,0.9934298526603802,0.9671220242850449,
2020-07-21,0.9999825366057833,0.9995798877427451,0.9935151362732301,0.9673495778813415,
2020-07-22,0.9999827748520584,0.999585343360325,0.993595660212376,0.9675128036867108,
2020-07-23,0.9999831054125362,0.9995906667036853,0.9936748976026394,0.9676145715706082,
2020-07-24,0.9999833927726058,0.999594891163662,0.9937438629247506,0.9676504299546169,
2020-07-27,0.9999835153577044,0.9995984208771151,0.9937999331099395,0.9676193746934056,
2020-07-28,0.9999834602312413,0.9996023825217233,0.9938647921973598,0.9675278084636357,
2020-07-29,0.9999837192938758,0.999608025277166,0.9939390443290622,0.9673917518032902,
2020-07-30,0.9999839756493396,0.99961210423404,0.9940221137809959,0.9672073791639462,
2020-07-31,0.9999841359413152,0.9996150797218357,0.994110380039642,0.9669633394205643,
2020-08-03,0.9999842191739263,0.9996178583484705,0.9941969898978069,0.9666843698062368,
2020-08-04,0.9999844218174387,0.9996215026920923,0.9942771352986608,0.9663538129781493,
2020-08-05,0.9999844033002864,0.9996237456711021,0.9943551440516314,0.9659695588590074,
2020-08-06,0.9999844420386493,0.9996272481445473,0.994430958448923,0.9655353974008097,
2020-08-07,0.999984750917965,0.9996322341003804,0.994505219326897,0.9650929979200374,
2020-08-10,0.9999849115215096,0.9996374841042004,0.9946078920707503,0.9645701704877432,
2020-08-11,0.9999851133592146,0.9996432138979254,0.9946861885323095,0.964018631119317,
2020-08-12,0.9999853165507738,0.9996483932463907,0.9947734300179027,0.9634345729262388,
2020-08-13,0.9999854833770012,0.9996538724809276,0.9949236852557916,0.9627524743790983,
2020-08-14,0.9999858424905117,0.9996598501953322,0.9950556243600497,0.96200805148592,
2020-08-17,0.9999860411121979,0.999664530447428,0.9951935079385867,0.9611971519195412,
2020-08-18,0.9999862316674448,0.9996675386877933,0.9953151697647759,0.9603232331957953,
2020-08-19,0.9999864893965016,0.9996716921677941,0.9954455264796984,0.9594251106824503,
2020-08-20,0.9999867027588575,0.9996743077962645,0.9955498081148413,0.9584804660313131,
2020-08-21,0.9999867668128041,0.9996780543379669,0.9956182194029196,0.9574828625160832,
2020-08-24,0.9999863398575155,0.9996796641290958,0.9956432771221447,0.9564266502630343,
2020-08-25,0.9999864388113303,0.9996793529074066,0.9956485058372866,0.9553191765587438,
2020-08-26,0.9999866929063581,0.9996737716527302,0.995624404089595,0.9542074008877113,
2020-08-27,0.9999864382980086,0.9996617750424679,0.9955561882456518,0.9530453315728578,
2020-08-28,0.9999862185065136,0.9996520875395081,0.9954747682239958,0.95186110410224,
2020-08-31,0.9999853132962555,0.9996453016656491,0.9953697016525539,0.950644502062514,
2020-09-01,0.9999852947290657,0.9996538204549056,0.9952474764807557,0.9494185269105185,
