Ticker,Company,Sector,Industry,mcap_2019,mcap_2020,mcap_2021,mcap_2022,mcap_2023,mcap_2024,pe_2019,pe_2020,pe_2021,pe_2022,pe_2023,pe_2024,dy_2019,dy_2020,dy_2021,dy_2022,dy_2023,dy_2024,pscore_2019,pscore_2020,pscore_2021,pscore_2022,pscore_2023,pscore_2024,azscore_2019,azscore_2020,azscore_2021,azscore_2022,azscore_2023,azscore_2024,fcfyield_2019,fcfyield_2020,fcfyield_2021,fcfyield_2022,fcfyield_2023,fcfyield_2024,roic_2019,roic_2020,roic_2021,roic_2022,roic_2023,roic_2024,rg_2019,rg_2020,rg_2021,rg_2022,rg_2023,rg_2024,ndebitda_2019,ndebitda_2020,ndebitda_2021,ndebitda_2022,ndebitda_2023,ndebitda_2024,gpm_2019,gpm_2020,gpm_2021,gpm_2022,gpm_2023,gpm_2024,epsdg_2019,epsdg_2020,epsdg_2021,epsdg_2022,epsdg_2023,epsdg_2024
ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!
ALOT,AstroNova Inc,Technology,Computer Hardware,96822040,75870600,97699500,93970600,120941880,96822040,"23,99343455","49,6751336","59,64261682","15,40273448","36,38397219","27,8496911","0,01405998354","0,02256846531","0,00648985024",0,0,0,4,4,4,4,4,4,"2,251731634","2,251731634","2,251731634","2,251731634","2,251731634","2,251731634","0,005346139629","0,003639336698","0,1691931379","-0,004059614531","-0,03269028665","0,08780931479","0,06767673684","-0,03774713049","-0,020876391","0,002231627593","0,01075878645","0,05888093055","0,2050775566","-0,02349678392","-0,1304872383","0,01247059026","0,2132022472","0,03900313625","0,8098440022","2,854307675","1,546577947","0,6076363636","2,602047917","1,374117828","0,3951425833","0,3653762571","0,3564503202","0,3723101805","0,3378728241","0,3625258296","0,7234042553","-0,7037037037","-0,25","3,888888889","-0,5909090909","0,75"
ALRM,Alarm.com Holdings Inc,Technology,Software - Application,2093737528,5127177210,4257986040,2463201286,3219268109,2093737528,"38,87331368","65,04452534","80,93271154","43,84873722","39,72296324","24,3177285",0,0,0,0,0,0,6,6,6,6,6,6,"2,684897657",#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"0,01335366174","0,0161124461","0,02074329741","0,01144007861","0,0378315803","0,06503172487","0,0932201401","0,08265053168","0,05532040679","0,04263948207","0,04300359002","0,05049758089","0,1946971895","0,2301921121","0,2119180651","0,1249584429","0,04643354353","0,06594781338","-0,1272642572","-0,8617373468","-2,360468287","-0,9003854975","-1,175972485","-0,8354262717","0,6345292149","0,6319953139","0,591573216","0,5934041414","0,6312060357","0,6529691103","1,465116279","0,4433962264","-0,339869281","0,05940594059","0,4299065421","0,4967320261"
ALT,Altimmune Inc,Healthcare,Biotechnology,28559005,438961087,402760445,822938984,655341615,28559005,"-1,208869348","-5,896395214","-3,894910307","-9,112396457","-6,77273442","-5,385439641",0,0,0,0,0,0,2,2,2,2,2,2,"2,702926717","2,702926717","2,702926717","2,702926717","2,702926717","2,702926717","-0,3871304954","-0,1198131362","-0,2394509104","-0,08123963864","-0,1266334709","-0,1559730765","-0,4247274642","-0,2347328898","-0,482159204","-0,459928933","-0,4820722337","-0,7990582185","-0,4384564262","0,4108707535","-0,4612113069","-1,015419501","7,264705882","-0,9530516432","0,3575478925","2,994184678","1,955435391","1,3028587","1,528924774","0,3717356453",1,"-3,093977699",1,1,1,1,"0,8884120172","-0,2243589744","-0,2303664921","0,229787234","0,08287292818","0,1927710843"
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,55912640000,78964500000,139893040000,82286100000,134680170000,55912640000,"19,71993718","15,0624924","21,56149796","11,78553103","16,05385064","21,35658074","0,01444844333","0,01443741061","0,006600810844","0,01135231862","0,008858385757","0,007776811766",7,7,7,7,7,7,"14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","14,04516487","0,05258408816","0,06204234142","0,03760414197","0,05997353206","0,06899546814","0,04884646786","0,1825816343","0,211152194","0,3063624694","0,3441379066","0,2876500578","0,2581663459","-0,1255312781","0,1775739321","0,3407161958","0,1180245415","0,02838859802","0,02485198175","0,5649249871","0,07455497382","0,1025988089","0,4642770647","-0,01572847682","-0,1611875782","0,4371577218","0,4471573073","0,4732255127","0,4651153772","0,4670211562","0,4745731528","-0,03378378378","0,3706293706","0,6326530612","0,1625","0,09005376344","0,06165228113"
ANDE,Andersons Inc,Consumer Defensive,Food Distribution,827909003,813437880,1305997980,1176293820,1944517462,827909003,"45,14285655","106,565217","12,38849547","8,994858586","19,18","12,09552245","0,02676329834","0,02799841892","0,0184330425","0,02087195807","0,01307331184","0,01905173227",5,5,5,5,5,5,"4,910834422","4,910834422","4,910834422","4,910834422","4,910834422","4,910834422","0,09448467992","-0,2182498906","-0,1031298687","0,1249951165","0,4102932146","0,1322076952","0,01576498648","0,005319756263","0,005545004786","0,06581089341","0,1159688893","0,06102370835","1,682813191","-0,01292148494","0,5638740573","0,3737167233","-0,1486415539","-0,2367822021","5,306013291","6,909536578","2,50985529","2,063510883","0,06275180362","0,8740580343","0,06315066563","0,04994159675","0,03501722551","0,03870800209","0,05640241911","0,06105317073","-0,6232876712","-0,5818181818","12,34782609","0,2410423453","-0,2283464567","0,1292517007"
ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology,67908732,77256550,89471250,131414250,122010480,67908732,"-6,57561188","-4,519294765","-11,23586208","-12,51154101","-9,97826929","-8,893022144",0,0,0,0,0,0,1,1,1,1,1,1,"5,871145853","5,871145853","5,871145853","5,871145853","5,871145853","5,871145853","-0,06420038222","-0,1352088892","-0,033945946","-0,03816704136","-0,06342393214","-0,06570049175","-2,470713024","-1,199364967","-0,3750225687","-0,4881953485","-0,4676378153","-0,7233786611","-0,7752808989",-1,0,-1,0,-1,"0,3172777661","0,6360462426","2,206917751","0,884186758","0,0674874601","0,0820630282","0,335",0,"0,248046875",0,"0,2333333333",0,"0,2278481013","0,2459016393","0,02173913043",0,"0,2888888889","-0,21875"
AOSL,Alpha & Omega Semiconductor Ltd,Technology,Semiconductors,339056280,611850480,1721296880,785989270,728090340,339056280,"-15,14006217","-40,97319588","13,48400681","1,969074616","73,09168554","-97,44108293",0,0,0,0,0,0,5,5,5,5,5,5,"3,732066344","3,732066344","3,732066344","3,732066344","3,732066344","3,732066344","-0,3656480277","-0,0003071125793","0,07151784933","0,09060846626","-0,09954015998","-0,01053767676","-0,01171182895","-0,02142795643","0,07820735128","0,08849444795","0,01458088331","-0,003724391093","0,06966383824","0,03102324137","0,4129689896","0,1836651434","-0,1109006214","-0,04924919104","0,9719402031","1,599585617","-0,007138243707","-1,496600846","-1,717059353","-1,958672136","0,2558724386","0,2209701253","0,3113752127","0,3453865465","0,2886300286","0,2615621491","-2,035087719","-0,2372881356","3,917808219","6,544600939","-0,9738643435","-1,928571429"
APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,2257306400,4531326800,4625948436,5720625590,7256947520,2257306400,"-6,253398839","-12,46636047","-5,347897754","-8,413662255","-13,43868482","-19,9810416",0,0,0,0,0,0,7,7,7,7,7,7,"0,447711223","0,447711223","0,447711223","0,447711223","0,447711223","0,447711223","-0,1116942344","-0,03858979119","-0,1413602954","-0,09390458364","-0,0838263717","-0,02232505668","-0,8832073794","-0,2556754358","-0,7112115783","-0,9939505075","-0,9443787004","-0,2335837009",0,0,"-0,734434222","0,133091958","4,258293336","0,9702086028","0,6523926974","0,6022649752","0,58798062","0,7112003758","0,4851608708","-0,3785333402",0,"0,9000582495","0,9218785211","0,9252737928","0,8524676556","0,8493371233","-1,128205128","0,07831325301","-0,9259259259","0,3042986425","0,2764227642","0,6404494382"
ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,8612781693,2880748688,1345545082,63428632,53950486,8612781693,"-8,821498344","-4,635005613","-0,7765836978","-0,6760198298","-0,7356327301","-2,358363163",0,0,0,0,0,0,2,2,2,2,2,2,"-1,836492233","-1,836492233","-1,836492233","-1,836492233","-1,836492233","-1,836492233","-0,09941155256","-0,2262502115","-0,9568511035","-1,343751175","0,4992748792","-0,5397777706","-0,3144609224","-0,247024498","-0,7306202285","-1,059102879","-0,654192556","-0,6323615404","0,07828965145","3,955522145","-0,9209405221",-1,0,"2,981571967","0,332263196","0,8444204723","0,4322065707","0,5291300964","0,2725870771","0,7784107218","-4,345110568","-0,2810441818",1,0,"-5,826748569",1,"0,3015075377","0,4604316547","-1,4","0,3661111111","0,4136722174","0,5"
ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,1363821975,816998400,1478170800,3115350000,1519437450,1363821975,"-0,4069732644","-1,340982092","-73,46480023","1,843714481","-0,2289652108","-3,846568648",0,0,0,0,0,0,3,3,3,3,3,3,"-2,285667228","-2,285667228","-2,285667228","-2,285667228","-2,285667228","-2,285667228","1,006776401","-1,737704223","0,05812445511","0,3875177372","0,6443941746","0,318119623","-0,4577889435","-0,4435703757","0,04581874757","0,1235007067","-1,262001492","-0,1436595745","-0,2637970299","-0,5291383111","0,02719407819","0,4073360117","-0,02665872985","-0,1782611841","3,230625345","-4,227683234","1,007142673","0,02142619497","-0,6350385556","-2,005829771","0,9585885695","0,8540643072","0,8573873565","0,8800005121","0,8223175006","0,6860860589","-6,343478261","0,9129373474","0,9722429907","69,35016835","-3,300492611","0,9507494647"
ATLC,Atlanticus Holdings Corp,Financial,Credit Services,130068360,369770190,1409110391,378679473,564719781,130068360,"4,940286276","3,790800892","6,043089341","2,826609733","5,453543488","7,391491518",0,"0,03800833308","0,02028597599","0,0646864249","0,04441316921","0,03129059171",4,4,4,4,4,4,"0,3627098823","0,3627098823","0,3627098823","0,3627098823","0,3627098823","0,3627098823","0,7632888915","0,5941447155","0,1909415513","0,8904147831","0,8118196013","0,5684309596","0,02929640563","0,08058204195","0,09349560575","0,05744102152","0,03854869025","0,03442298067","1,121717868","-0,03925939003","0,1585212409","-0,175160709","-0,02333500705","0,2567661802","16,83140714","6,094251408","4,57968541","9,29677524","12,72222683","14,81436243","0,2665671144","0,504186925","0,8004476501","0,7780463442","0,6951041761","0,615858634","1,964285714","1,379518072","0,9139240506","-0,2288359788","-0,2727272727","0,125"
ATYR,Atyr Pharma Inc,Healthcare,Biotechnology,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,"-0,2459512774","-0,9767791771","-0,9775503121","-1,084429273","-1,840465662","-4,198893824",0,0,0,0,0,0,2,2,2,2,2,2,"-7,738770559","-7,738770559","-7,738770559","-7,738770559","-7,738770559","-7,738770559","-3,461042089","-0,9782760393","-1,007787994","-0,8853095417","-0,4036695401","-0,2573562706","-0,7014683884","-0,4718144886","-0,3078169116","-0,5603129754","-0,5202387155","-0,8171088251",0,"23,77488152",-1,0,"-0,9660119391","-0,3342776204","-0,1128317594","1,004643223","0,02950143196","-0,03473573553","0,142761317","-0,03356736071","-32,28909953","-0,6538498326",0,"0,8367995378",1,1,"0,56416615","0,7482219061",0,"0,09604519774","0,4125","0,08510638298"
AVDL,Avadel Pharmaceuticals plc,Healthcare,Drug Manufacturers - Specialty & Generic,309980350,390399240,474457600,452740590,1341668280,309980350,"-8,499146753","50,37183836","-6,116240996","-3,130077984","-7,063171529","-20,47698046",0,0,0,0,0,0,4,4,4,4,4,4,"8,925250301","8,925250301","8,925250301","8,925250301","8,925250301","8,925250301","-0,1358179825","-0,1379383282","-0,163513917","-0,1650579827","-0,1135199143","-0,04691019412","-0,1788568433","-0,02707618279","-0,3126375475","-0,8524563224","-1,067111723","-0,3637192928","-0,4265946218","-0,6228320527",-1,0,0,"5,047884705","-4,864947275","6,123932514","-1,144535612","-0,5844125241","0,1914031852","1,396395637","0,7952376932","0,7429031969",0,0,"0,9697457354","0,9096660892","0,6509803922","1,146067416","-11,15384615","-0,7348484848","0,1266375546","0,745"
AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology,3830661756,3049377291,1447849249,3351090943,3766977349,3830661756,"-51,44961876","-29,45802477","-10,89875747","-16,75693743","-15,1121169","-14,11482487",0,0,0,0,0,0,4,4,4,4,4,4,"6,450576255","6,450576255","6,450576255","6,450576255","6,450576255","6,450576255","-0,01319305365","-0,02589773223","-0,07636621013","-0,03737906492","-0,04028940012","-0,03174146217","-0,3384979793","-0,604826202","-1,908569822","-0,7639967706","-0,5144247519","-0,8211971316",0,0,0,0,"4,407998081","0,4253252033","2,976311488","1,333381324","0,2949720134","0,6052441034","0,8881288585","0,4489956127",0,0,0,"0,8961168735","0,903677014","0,9136541239","-0,7826086957","-0,3804878049","-0,2261484099","-0,325648415","-0,1456521739","-0,1366223909"
