portfolio,Ticker,beta_2019
peripheral fast,ACWX,0.8255619603168658
peripheral fast,AGNG,0.6199084529744222
peripheral fast,AIA,0.9972514625508254
peripheral fast,AROW,0.8489149316952375
peripheral fast,BATRA,0.5833793609552458
peripheral fast,BCBP,0.7505224854691392
peripheral fast,BNDX,-0.04801775366037266
peripheral fast,CALM,0.5866962977479699
peripheral fast,CARZ,0.9212558949393537
peripheral fast,CDL,0.8084100307783645
peripheral fast,COLB,1.0507646691435564
peripheral fast,COMT,0.5668222650950269
peripheral fast,CPB,0.3437945557211081
peripheral fast,CYRX,1.5241339177061164
peripheral fast,DENN,0.3171658421259486
peripheral fast,DGRW,0.9906694658189406
peripheral fast,DRH,0.8460002574688417
peripheral fast,ENSG,0.9083344964619595
peripheral fast,ENZL,0.35883664925550396
peripheral fast,ERIC,1.0545172218512606
peripheral fast,ERII,1.4936674685281963
peripheral fast,ESPO,1.192797765750035
peripheral fast,EVO,1.215107226143448
peripheral fast,FCBC,0.826564412305072
peripheral fast,FER,-0.13624393589416622
peripheral fast,FEX,1.026377277999337
peripheral fast,FHB,0.8579366369114165
peripheral fast,FIEE,-0.2184278926005883
peripheral fast,FJP,0.7517341227118212
peripheral fast,FKU,0.657447193781
peripheral fast,FNY,1.165148670781735
peripheral fast,FORM,1.6410547498276076
peripheral fast,FTGC,0.25084929902493486
peripheral fast,FYT,1.1632595883966927
peripheral fast,GECC,0.20711250460746872
peripheral fast,GLPI,0.46640608845282344
peripheral fast,GSHD,1.0469986312948083
peripheral fast,HBAN,1.1030772933519595
peripheral fast,HBNC,0.8655629817164836
peripheral fast,IBRX,1.4458904780798072
peripheral fast,IDN,0.5707813469195641
peripheral fast,IFGL,0.43179987188715335
peripheral fast,IVAL,0.931478876496441
peripheral fast,JBHT,1.0712602576747146
peripheral fast,KRNY,0.6981079825878876
peripheral fast,KTCC,0.4009614617919672
peripheral fast,LAZR,0.014319788117476875
peripheral fast,LFVN,0.9638913776900266
peripheral fast,LOAN,0.23165637809978717
peripheral fast,LPRO,0.05300598840899402
peripheral fast,LULU,1.04967337554122
peripheral fast,MANH,1.2174751978495406
peripheral fast,MASI,1.257848963879761
peripheral fast,MDB,1.750651194279469
peripheral fast,MKTX,0.555909878011714
peripheral fast,MU,2.13530349505659
peripheral fast,NRIM,0.9237497749872229
