portfolio,Ticker,momentum12mo_2019
central slow,DOCU,0.8490518269619898
central slow,DRIO,7.453607801448946
central slow,DSGX,0.6145125736520609
central slow,DTSS,-0.24691358024691357
central slow,DXPE,0.42995693804227386
central slow,EDAP,1.3945944709443472
central slow,EGBN,0.00760539922379766
central slow,ENTA,-0.127770758404667
central slow,ESCA,-0.10177603649475997
central slow,ETON,0.1764705790688741
central slow,EXC,0.04275557125284313
central slow,EXTR,0.20819672143962298
central slow,FCA,0.1872469517258155
central slow,FITB,0.35200214496898075
central slow,FLWS,0.1856092021855129
central slow,FTAI,0.480520247121639
central slow,FTDR,0.7820367185748371
central slow,FTEK,-0.20168072067321385
central slow,GLDD,0.7114803805996133
central slow,GLRE,0.17285380404869044
central slow,GMAB,0.35538691390998367
central slow,GNOM,
central slow,GNSS,0.29761904987167975
central slow,GRCE,1.9518071793100167
central slow,HAS,0.33406076329771683
central slow,HCSG,-0.37756472926259776
central slow,HIMX,-0.22448976681166655
central slow,HQY,0.24174346689143422
central slow,IBKR,-0.14011543038057306
central slow,ICLN,0.4436492617926653
central slow,IMMR,-0.17075892140201465
central slow,IMTE,0.42105271238563735
central slow,INCY,0.3731718742773207
central slow,IRTC,-0.020005857108299274
central slow,JBLU,0.16562888766298123
central slow,JOYY,-0.11810889076464437
central slow,KINS,-0.5473683791231496
central slow,KRMD,2.9575759419177654
central slow,KRNT,0.8285256836423758
central slow,KRUS,
central slow,LBTYA,0.06560454127435267
central slow,LDWY,-0.5100671156281157
central slow,LFWD,-0.5034482920617342
central slow,LGIH,0.5623617783878594
central slow,LGO,-0.628019346595825
central slow,LTRX,0.20748295347739987
central slow,LWLG,-0.014084494035883521
central slow,MAAS,
central slow,MBAI,-0.19999996451444402
central slow,MELI,0.9530134557662904
central slow,MEOH,-0.17074921535183063
central slow,MOMO,0.43236195517842857
central slow,MRVL,0.6574125182653299
central slow,NBN,0.31690189337449404
central slow,NCMI,0.23317859198095725
central slow,NFTY,0.00576724676667606
central slow,NVEC,-0.1393300203130473
central slow,NWSA,0.26424047190486477
central slow,NXST,0.5192593506804846
central slow,OFLX,1.0693092393272328
central slow,PCAR,0.4504682751674234
central slow,PENG,0.2774409983871666
central slow,PLMR,
central slow,POWW,-0.671096341304514
central slow,PPC,1.1096068666151089
central slow,PRDO,0.6103325676805214
central slow,PTC,-0.09662246066099267
central slow,PYPL,0.28635993722686015
central slow,QCOM,0.607640950921317
central slow,QNCX,
central slow,QVCGA,-0.5681352724940308
central slow,RARE,-0.017709302342924227
central slow,RCKY,0.15409094966783
central slow,RGLD,0.44265747254330967
central slow,RNRG,0.3703422339347253
central slow,RRBI,
central slow,SATS,0.45546141096131265
central slow,SKYE,-0.6725
central slow,SLE,
central slow,SLNH,0.0980006472857291
central slow,SMPL,0.5100529889717906
central slow,SPFI,
central slow,SPNS,1.1105254844006023
central slow,STGW,0.06513413146620217
central slow,STRT,-0.21044360221711322
central slow,TACT,0.26421851394567586
central slow,TBCH,-0.3377715833131727
central slow,THRM,0.1103051500226564
central slow,TLPH,-0.08658008515031679
central slow,TOUR,-0.48148149276450636
central slow,UCTT,1.770956147984578
central slow,UNB,-0.21518997325426426
central slow,UPBD,0.7986676570466948
central slow,VALU,0.15089344775201452
central slow,VNET,-0.16087966297327605
central slow,VRA,0.3768962206453026
central slow,VRRM,0.43340158227854286
central slow,VRSK,0.37917602513682636
central slow,VSEC,0.2855870423625
central slow,VTGN,-0.53999998304579
central slow,XENE,1.0776544810715674
central slow,ZTEK,-0.06666669978035689
central slow,ZUMZ,0.8017736451780346
peripheral fast,ACWX,0.21051741344023278
peripheral fast,AGNG,0.25243977677073537
peripheral fast,AIA,0.2221273847166163
peripheral fast,AROW,0.2541251329834995
peripheral fast,BATRA,0.1888532070414659
peripheral fast,BCBP,0.37746372517782256
peripheral fast,BNDX,0.07866178414694192
